,Region
252,Orbital area
253,"Orbital area, layer 1"
254,"Orbital area, layer 2/3"
255,"Orbital area, layer 5"
256,"Orbital area, layer 6a"
257,"Orbital area, layer 6b"
258,"Orbital area, lateral part"
259,"Orbital area, lateral part, layer 1"
260,"Orbital area, lateral part, layer 2/3"
261,"Orbital area, lateral part, layer 5"
262,"Orbital area, lateral part, layer 6a"
263,"Orbital area, lateral part, layer 6b"
264,"Orbital area, medial part"
265,"Orbital area, medial part, layer 1"
266,"Orbital area, medial part, layer 2"
267,"Orbital area, medial part, layer 2/3"
268,"Orbital area, medial part, layer 5"
269,"Orbital area, medial part, layer 6a"
270,"Orbital area, medial part, layer 6b"
271,"Orbital area, ventral part"
272,"Orbital area, ventrolateral part"
273,"Orbital area, ventrolateral part, layer 1"
274,"Orbital area, ventrolateral part, layer 2/3"
275,"Orbital area, ventrolateral part, layer 5"
276,"Orbital area, ventrolateral part, layer 6a"
277,"Orbital area, ventrolateral part, layer 6b"
278,Agranular insular area
279,"Agranular insular area, dorsal part"
280,"Agranular insular area, dorsal part, layer 1"
281,"Agranular insular area, dorsal part, layer 2/3"
282,"Agranular insular area, dorsal part, layer 5"
283,"Agranular insular area, dorsal part, layer 6a"
284,"Agranular insular area, dorsal part, layer 6b"
285,"Agranular insular area, posterior part"
286,"Agranular insular area, posterior part, layer 1"
287,"Agranular insular area, posterior part, layer 2/3"
288,"Agranular insular area, posterior part, layer 5"
289,"Agranular insular area, posterior part, layer 6a"
290,"Agranular insular area, posterior part, layer 6b"
291,"Agranular insular area, ventral part"
292,"Agranular insular area, ventral part, layer 1"
293,"Agranular insular area, ventral part, layer 2/3"
294,"Agranular insular area, ventral part, layer 5"
295,"Agranular insular area, ventral part, layer 6a"
296,"Agranular insular area, ventral part, layer 6b"
297,Retrosplenial area
298,"Retrosplenial area, lateral agranular part"
299,"Retrosplenial area, lateral agranular part, layer 1"
300,"Retrosplenial area, lateral agranular part, layer 2/3"
301,"Retrosplenial area, lateral agranular part, layer 5"
302,"Retrosplenial area, lateral agranular part, layer 6a"
303,"Retrosplenial area, lateral agranular part, layer 6b"
304,Mediomedial anterior visual area
305,"Mediomedial anterior visual area, layer 1"
306,"Mediomedial anterior visual area, layer 2/3"
307,"Mediomedial anterior visual area, layer 4"
308,"Mediomedial anterior visual area,layer 5"
309,"Mediomedial anterior visual area, layer 6a"
310,"Mediomedial anterior visual area, layer 6b"
311,Mediomedial posterior visual area
312,"Mediomedial posterior visual area, layer 1"
313,"Mediomedial posterior visual area, layer 2/3"
314,"Mediomedial posterior visual area, layer 4"
315,"Mediomedial posterior visual area,layer 5"
316,"Mediomedial posterior visual area, layer 6a"
317,"Mediomedial posterior visual area, layer 6b"
318,Medial visual area
319,"Medial visual area, layer 1"
320,"Medial visual area, layer 2/3"
321,"Medial visual area, layer 4"
322,"Medial visual area,layer 5"
323,"Medial visual area, layer 6a"
324,"Medial visual area, layer 6b"
325,"Retrosplenial area, dorsal part"
326,"Retrosplenial area, dorsal part, layer 1"
