,Region
507,habenular nuclei
508,"habenular nuclei, left"
509,"lateral habenular nucleus, left"
510,"lateral habenular nucleus, left, magnocellular division"
511,"lateral habenular nucleus, left, parvocellular division"
512,"medial habenular nucleus, left"
513,"habenular nuclei, right"
514,"lateral habenular nucleus, right"
515,"lateral habenular nucleus, right, magnocellular division"
516,"lateral habenular nucleus, right, parvocellular division"
517,"medial habenular nucleus, right"
518,paraventricular nuclei of thalamus
519,"paraventricular nuclei, left of thalamus, left"
520,"anterior paraventricular nucleus of thalamus, left"
521,"posterior paraventricular nucleus of thalamus, left"
522,"paraventricular nuclei, right of thalamus, right"
523,"anterior paraventricular nucleus of thalamus, right"
524,"posterior paraventricular nucleus of thalamus, right"
525,pineal gland
526,hypothalamus
527,anterior hypothalamic region
528,anterior hypothalamic area
529,"anterior hypothalamic area, left"
530,"anterior hypothalamic area, left, anterior part"
531,"anterior hypothalamic area, left, central part"
532,"anterior hypothalamic area, right"
533,"anterior hypothalamic area, right, anterior part"
534,"anterior hypothalamic area, right, central part"
535,anterior hypothalamic nucleus
536,"anterior hypothalamic nucleus, left"
537,"anterior hypothalamic nucleus, right"
538,"lateral hypothalamic area, anterior region"
539,"lateral hypothalamic area, anterior region, left"
540,"lateral hypothalamic area, anterior region, right"
541,paraventricular nucleus of the hypothalamus
542,"paraventricular nucleus of the hypothalamus, left"
543,"subparaventricular zone, left"
544,"paraventricular nucleus of the hypothalamus, left, descending division"
545,"paraventricular nucleus of the hypothalamus, left, descending division, dorsal parvicellular part"
546,"paraventricular nucleus of the hypothalamus, left, descending division, forniceal part"
547,"paraventricular nucleus of the hypothalamus, left, descending division, lateral parvicellular part"
548,"paraventricular nucleus of the hypothalamus, left, descending division, medial parvicellular part, ventral zone"
549,"paraventricular nucleus of the hypothalamus, left, magnocellular division"
550,"paraventricular nucleus of the hypothalamus, left, magnocellular division, anterior magnocellular part"
551,"paraventricular nucleus of the hypothalamus, left, magnocellular division, medial magnocellular part"
552,"paraventricular nucleus of the hypothalamus, left, magnocellular division, posterior magnocellular part"
553,"paraventricular nucleus of the hypothalamus, left, magnocellular division, posterior magnocellular part, lateral zone"
554,"paraventricular nucleus of the hypothalamus, left, magnocellular division, posterior magnocellular part, medial zone"
555,"paraventricular nucleus of the hypothalamus, left, parvicellular division"
556,"paraventricular nucleus of the hypothalamus, left, parvicellular division, anterior parvicellular part"
557,"paraventricular nucleus of the hypothalamus, left, parvicellular division, medial parvicellular part, dorsal zone"
558,"paraventricular nucleus of the hypothalamus, left, parvicellular division, periventricular part"
559,"paraventricular nucleus of the hypothalamus, right"
560,"subparaventricular zone, right"
561,"paraventricular nucleus of the hypothalamus, right, descending division"
562,"paraventricular nucleus of the hypothalamus, right, descending division, dorsal parvicellular part"
563,"paraventricular nucleus of the hypothalamus, right, descending division, forniceal part"
564,"paraventricular nucleus of the hypothalamus, right, descending division, lateral parvicellular part"
565,"paraventricular nucleus of the hypothalamus, right, descending division, medial parvicellular part, ventral zone"
566,"paraventricular nucleus of the hypothalamus, right, magnocellular division"
567,"paraventricular nucleus of the hypothalamus, right, magnocellular division, anterior magnocellular part"
568,"paraventricular nucleus of the hypothalamus, right, magnocellular division, medial magnocellular part"
569,"paraventricular nucleus of the hypothalamus, right, magnocellular division, posterior magnocellular part"
570,"paraventricular nucleus of the hypothalamus, right, magnocellular division, posterior magnocellular part, lateral zone"
571,"paraventricular nucleus of the hypothalamus, right, magnocellular division, posterior magnocellular part, medial zone"
572,"paraventricular nucleus of the hypothalamus, right, parvicellular division"
573,"paraventricular nucleus of the hypothalamus, right, parvicellular division, anterior parvicellular part"
574,"paraventricular nucleus of the hypothalamus, right, parvicellular division, medial parvicellular part, dorsal zone"
575,"paraventricular nucleus of the hypothalamus, right, parvicellular division, periventricular part"
576,"periventricular nucleus of the hypothalamus, anterior part"
577,"periventricular nucleus of the hypohalamus, anterior part, left"
578,"periventricular nucleus of the hypohalamus, anterior part, right"
579,supraoptic nucleus
580,"supraoptic nucleus, left"
581,"supraoptic nucleus, left, dorsolateral part"
582,"supraoptic nucleus, left, ventromedial part"
583,"supraoptic nucleus, right"
584,"supraoptic nucleus, right, dorsolateral part"
585,"supraoptic nucleus, right, ventromedial part"
586,suprachiasmatic nucleus
587,"suprachiasmatic nucleus, left"
588,"suprachiasmatic nucleus, left, dorsomedial part"
589,"suprachiasmatic nucleus, left, ventrolateral part"
590,"suprachiasmatic nucleus, right"
591,"suprachiasmatic nucleus, right, dorsomedial part"
592,"suprachiasmatic nucleus, right, ventrolateral part"
593,mammillary region
594,"lateral hypothalamic area, mammillary region"
595,"lateral hypothalamic area, mammillary region, left"
596,"pallidohypothalamic nucleus, left"
597,"lateral hypothalamic area, mammillary region, right"
598,"pallidohypothalamic nucleus, right"
599,mammillary body
600,"mammillary body, left"
601,"lateral mammillary nucleus, left"
602,"medial mammillary nucleus, left"
603,"medial mammillary nucleus, left, lateral part"
604,"medial mammillary nucleus, left, medial part"
605,"medial mammillary nucleus, left, basal division"
606,"premammillary nucleus, left"
607,"premammillary nucleus, left, dorsal part"
608,"premammillary nucleus, left, ventral part"
609,"mammillary body, right"
610,"lateral mammillary nucleus, right"
611,"medial mammillary nucleus, right"
612,"medial mammillary nucleus, right, lateral part"
613,"medial mammillary nucleus, right, medial part"
614,"medial mammillary nucleus, right, basal division"
615,"premammillary nucleus, right"
616,"premammillary nucleus, right, dorsal part"
617,"premammillary nucleus, right, ventral part"
618,posterior hypothalamic area
619,"posterior hypothalamic area, left"
620,"posterior hypothalamic area, right"
621,supramammillary nucleus
622,"supramammillary nucleus, left"
623,"supramammillary nucleus, left, medial part"
624,"supramammillary nucleus, right"
625,"supramammillary nucleus, right, medial part"
626,tuberomammillary nucleus
627,"tuberomammillary nucleus, left"
628,"tuberomammillary nucleus, left, principle part"
629,"tuberomammillary nucleus, right"
630,"tuberomammillary nucleus, right, principle part"
631,preoptic region
632,"preoptic region, left"
633,"intermediate hypothalamic nuclei, left"
634,"intermediate nucleus, left"
635,"uncinate nucleus, left"
636,"lateral preoptic area, left"
637,"medial preoptic area, left"
638,"medial preoptic nucleus, left"
639,"medial preoptic nucleus, left, central part"
640,"medial preoptic nucleus, left, lateral part"
641,"medial preoptic nucleus, left, medial part"
642,"median preoptic nucleus, left"
643,"periventricular nucleus of the hypothalamus, left, preoptic part"
644,"anteroventral periventricular nucleus, left"
645,"dorsal periventricular nucleus, left"
646,"preoptic region, right"
647,"intermediate hypothalamic nuclei, right"
648,"intermediate nucleus, right"
649,"uncinate nucleus, right"
650,"lateral preoptic area, right"
651,"medial preoptic area, right"
652,"medial preoptic nucleus, right"
653,"medial preoptic nucleus, right, central part"
654,"medial preoptic nucleus, right, lateral part"
655,"medial preoptic nucleus, right, medial part"
656,"median preoptic nucleus, right"
657,"periventricular nucleus of the hypothalamus, right, preoptic part"
658,"anteroventral periventricular nucleus, right"
659,"dorsal periventricular nucleus, right"
660,tuberal region
661,pituitary body
662,arcuate nucleus of the hypothalamus
663,"arcuate nucleus of the hypothalamus, left"
664,"arcuate nucleus of the hypothalamus, left, dorsal part"
665,"arcuate nucleus of the hypothalamus, left, lateral part"
666,"arcuate nucleus of the hypothalamus, left, medial part"
667,"arcuate nucleus of the hypothalamus, right"
668,"arcuate nucleus of the hypothalamus, right, dorsal part"
669,"arcuate nucleus of the hypothalamus, right, lateral part"
670,"arcuate nucleus of the hypothalamus, right, medial part"
671,dorsomedial hypothalamic nucleus
672,"dorsomedial hypothalamic nucleus, left"
673,"dorsomedial hypothalamic nucleus, left, compact part"
674,"dorsomedial hypothalamic nucleus, left, diffuse part"
675,"dorsomedial hypothalamic nucleus, right"
676,"dorsomedial hypothalamic nucleus, right, compact part"
677,"dorsomedial hypothalamic nucleus, right, diffuse part"
678,"lateral hypothalamic area, tuberal region"
679,"lateral hypothalamic area, tuberal region, left"
680,"lateral hypothalamic area, tuberal region, right"
681,lateral tuberal nucleus
682,"lateral tuberal nucleus, left"
683,"lateral tuberal nucleus, right"
684,median eminence
685,"median eminence, left"
686,"median eminence, right"
687,perifornical nucleus
688,"perifornical nucleus, left"
689,"perifornical nucleus, right"
690,"periventricular nucleus of the hypothalamus, tuberal part"
691,"periventricular nucleus of the hypothalamus, tuberal part, left"
692,"periventricular nucleus of the hypothalamus, tuberal part, right"
693,ventromedial hypothalamic nucleus
694,"ventromedial hypothalamic nucleus, left"
695,"ventromedial hypothalamic nucleus, left, dorsal part"
696,"ventromedial hypothalamic nucleus, left, central part"
697,"ventromedial hypothalamic nucleus, left, ventral part"
698,"ventromedial hypothalamic nucleus, right"
699,"ventromedial hypothalamic nucleus, right, dorsal part"
700,"ventromedial hypothalamic nucleus, right, central part"
701,"ventromedial hypothalamic nucleus, right, ventral part"
702,subthalamus
703,"subthalamic nucleus, left"
704,"subthalamic nucleus, right"
705,thalamus
706,dorsal thalamus
707,anterior group of nuclei
708,"anterior group of nuclei, left"
709,"anterodorsal nucleus of the thalamus, left"
710,"anteromedial nucleus of the thalamus, left"
711,"anteroventral nucleus of the thalamus, left"
712,"lateral dorsal nucleus of the thalamus, left"
713,"anterior group of nuclei, right"
714,"anterodorsal nucleus of the thalamus, right"
715,"anteromedial nucleus of the thalamus, right"
716,"anteroventral nucleus of the thalamus, right"
717,"lateral dorsal nucleus of the thalamus, right"
718,caudal group of intralaminar nuclei
719,"caudal group of intralaminar nuclei, left"
720,"centre median nucleus of the thalamus, left"
721,"parafascicular nucleus of the thalamus, left"
